Source_folder,Source_file,Date,script,Segment,close_price,Data_Interval,Strategy,ALERT,screener,screener_side,user_actions,Target,Stoploss,Resistance,Support,Pivot_upper,Pivot_lower,Backtest_accuracy,Total_Instances,winrate_wrt_Nifty_position,False_Positive_Rate_(<1%),Signal_type,Max_Gain_Potential,Price_closeto,Signal_type,Parent_script
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 9:30,360ONE,Equity,1059.300049,15 mins,Intraday,Intraday Model | price position: GAP-DOWN | Strong Downtrend | LOW to HIGH | No U-turn,GAP-DOWN | Strong Downtrend | LOW to HIGH | No U-turn,,"Good for Sell, Downtrend momentum is strengthening — short setups (PE) may offer quick gains.Avoid long positions.",1069.893049,1054.199951,1073.387527,1065.750015,1059.61154,1051.93335,0.851449275,126,0.821428571,0.002855103,Sell,0.006954308,Support,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:31,360ONE,Equity,1059.800049,2 mins,Intraday - Fast Alerts,U-turn_expect Bullish reversal|2 mins,,,,1063.47936,1054.503164,1060.4,1056.41,1063.47936,1054.503164,,,,,Buy,0.003471704,Resistance,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:57,360ONE,Equity,1066.400024,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,,,,1068.92,1063.47936,1068.92,1067.18,1067.853967,1063.47936,,,,,Sell,0.002738807,Support,Sell,
G:\My Drive\Project Equity\Shortterm system BTST\Output_files\Quick_Action_dashboard_V3.csv,quickaction,11/13/2025 0:00,AARTECH,Equity,50.88000107,1D,Shortterm,Shortterm Buy | M1,Shortterm Model | Buy,Buy,Ideal for BTST trades; Exit if you see 1.5% or more profit next day.,51.80416807,50.88000107,,,,,0.97937025,1842,,,Buy,0.018163659,in-between,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:27,ABB,Equity,4933.5,2 mins,Intraday - Fast Alerts,U-turn_expect Bullish reversal|2 mins,Volatility_Squeeze,,"Wait for first wide-range breakout candle with volume surge, then enter.",5087.642857,4918.5,4919.8,4918.5,5087.642857,4933.5,,,,,Buy,0.031244118,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:33,ABCAPITAL,Equity,336.5499878,2 mins,Intraday - Fast Alerts,U-turn_expect Bullish reversal|2 mins,Volatility_Squeeze,,"Wait for first wide-range breakout candle with volume surge, then enter.",342.1,334.87,342.1,334.87,339.0261894,335.2857138,,,,,Buy,0.0164909,Support,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 11:11,ABCAPITAL,Equity,335.7999878,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,,,,339.2601478,335.5862334,337.78,336.3,339.2601478,335.5862334,,,,,Sell,0.000636553,Support,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 13:15,ABFRL,Equity,78.94999695,15 mins,Intraday,Intraday Model | price position: Others | No U-turn,Others | No U-turn,,"Trade in the signal direction. Enter only when momentum or reversal confirmation appears. Stronger backtest accuracy, Nifty alignment, and higher potential gains improve confidence.",79.73949692,77.80999756,77.45500278,77.05749702,79.22333272,77.57309284,0.774545455,59,0.9375,0.000714286,Buy,0.01,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:45,ABFRL,Equity,79.81999969,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,VWAP_Pullback,,Look for rejection wick/engulfing near VWAP; enter with stop slightly beyond VWAP.,80.00238158,79.5328575,79.95,79.8,80.00238158,79.5328575,,,,,Sell,0.003597372,Support,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 10:11,ABFRL,Equity,79.48000336,2 mins,Intraday - Fast Alerts,U-turn_expect Bullish reversal|2 mins,,,,79.49454579,78.47181887,79.42,79.27,79.49454579,78.47181887,,,,,Buy,0.00018297,Resistance,Buy,
G:\My Drive\Project Equity\Shortterm system BTST\Model_outputs\Final_signals_shortterm_latestday.csv,short_model,11/13/2025 0:00,ABINFRA,Equity,20.17000008,1D,Shortterm,Shortterm Buy | M2,Shortterm Multilayered Model | Buy,,Strong Buy setup with high backtest accuracy. Check targets and resistance levels and manage risk accordingly.,20.58333302,20.17000008,20.51209915,19.32789973,,,0.931034483,100,0.885714286,0.098591549,Buy,0.020492461,in-between,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:45,ADANIENSOL,Equity,970.4500122,15 mins,Intraday - Fast Alerts,Consolidation_breakdown_Bullish|15 mins,Volatility_Squeeze,,"Wait for first wide-range breakout candle with RVOL_TOD>1.3, then enter.",976.3769851,955.37,972.5,955.37,976.3769851,969.9682559,,,,,Buy,0.006107448,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 12:45,ADANIENSOL,Equity,962.9500122,15 mins,Intraday - Fast Alerts,Consolidation_breakdown_Bearish|15 mins,Volatility_Squeeze,Bearish,"Bearish plan • Wait for first wide-range breakout candle with RVOL_TOD>1.3, then enter.",964.2,952.6680527,964.2,965.16,963.9326375,952.6680527,,,,,Sell,0.010677563,Support,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 10:00,ADANIENT,Equity,2337.899902,15 mins,Intraday,Intraday Model | price position: GAP-UP | Strong Uptrend | Neutral | No U-turn,GAP-UP | Strong Uptrend | Neutral | No U-turn,,"Long trades suitable if Nifty accuracy > 90%, backtest accuracy > 80%, and potential gains > 0.7%.",2361.278901,2315.199951,2325.175079,2314.524994,2344,2302.744,0.865454545,45,1,0.002142857,Buy,0.01,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 11:00,ADANIENT,Equity,2385,15 mins,Intraday - Fast Alerts,Consolidation_breakdown_Bullish|15 mins,Volatility_Squeeze,Bullish,"Bullish plan • Wait for first wide-range breakout candle with RVOL_TOD>1.3, then enter.",2396.965201,2366.43,2390.03,2366.43,2396.965201,2383.082619,,,,,Buy,0.005016856,Resistance,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 12:33,ADANIENT,Equity,2372,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,,,,2382.795834,2368.100009,2376.5,2371.2,2382.795834,2368.100009,,,,,Sell,0.001644178,Support,Buy,
G:\My Drive\Project Equity\Shortterm system BTST\Model_outputs\Final_signals_shortterm_latestday.csv,short_model,11/13/2025 0:00,ADANIENT,Equity,2488.199951,1D,Shortterm,Shortterm Buy | M2,Shortterm Multilayered Model | Buy,,Moderate Buy. Consider holding for 1–3 weeks based on target and stop-loss levels.,2517.655569,2488.199951,2467.977569,2307.155569,,,0.642857143,42,0.936170213,0.019047619,Buy,0.011838123,Resistance,Buy,
